City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
Modrica,0,RS,clear sky,69,43.5204,21.3647,65.84,4.61
Quzhou,100,CN,overcast clouds,89,28.9594,118.8686,78.31,8.61
Pacific Grove,20,US,few clouds,80,36.6177,-121.9166,87.15,7.0
Deyang,34,CN,scattered clouds,87,31.1302,104.382,82.89,1.97
Toora-Khem,100,RU,overcast clouds,89,52.4675,96.11,63.68,1.61
Adrar,98,MR,overcast clouds,21,20.5022,-10.0711,92.59,10.83
Koroni,0,GR,clear sky,65,36.8,21.95,77.07,4.83
Kibala,20,TD,thunderstorm,89,9.1104,18.3463,78.75,0.0
Guane,60,CU,broken clouds,81,22.2025,-84.0875,79.97,4.21
Chifeng,92,CN,overcast clouds,60,42.2683,118.9636,81.43,10.38
Kintinku,0,TZ,clear sky,69,-5.8833,35.2333,62.13,2.57
Del Carmen,81,PH,broken clouds,68,9.8694,125.9697,85.84,12.28
Jefferson City,1,US,clear sky,51,38.5767,-92.1735,91.89,8.01
Puerto Narino,62,CO,broken clouds,98,-3.7703,-70.3831,75.15,3.6
Calama,9,CL,clear sky,11,-22.4667,-68.9333,50.49,11.5
Dzilam Gonzalez,100,MX,overcast clouds,81,21.2833,-88.9333,80.33,7.14
Port Hedland,25,AU,scattered clouds,33,-20.3167,118.5667,71.65,10.36
Nagareyama,1,JP,clear sky,58,35.8563,139.9027,89.11,5.37
Launceston,75,AU,broken clouds,74,-41.45,147.1667,44.62,4.0
Yumen,2,CN,clear sky,41,40.2833,97.2,80.28,2.35
Cepu,0,ID,clear sky,69,-7.1475,111.5906,77.97,5.53
Hirado,100,JP,overcast clouds,67,33.3597,129.5531,85.35,5.06
Druskininkai,100,LT,overcast clouds,76,54.0167,23.9667,63.23,4.7
Calvinia,11,ZA,few clouds,26,-31.4707,19.776,42.31,9.01
Catamarca,0,AR,clear sky,32,-28.4696,-65.7852,68.58,1.23
Cam Ranh,40,VN,scattered clouds,58,11.9214,109.1591,85.96,6.91
San Quintin,100,MX,overcast clouds,80,30.4833,-115.95,69.53,9.69
Mayo,75,US,broken clouds,70,38.8876,-76.5119,81.01,3.0
Camapua,0,BR,clear sky,38,-19.5314,-54.0439,71.1,3.98
Kaithal,36,IN,scattered clouds,72,29.8,76.3833,84.6,6.06
Goundam,100,ML,overcast clouds,50,16.4145,-3.6708,84.78,4.03
Ancud,100,CL,overcast clouds,80,-41.8697,-73.8203,38.73,3.49
Chalisgaon,100,IN,overcast clouds,83,20.4667,75.0167,77.14,13.96
Huanren,61,CN,broken clouds,57,41.2647,125.3667,86.0,4.43
Zaltan,0,LY,clear sky,47,32.947,11.8665,80.2,11.34
Ketchikan,75,US,broken clouds,72,55.3422,-131.6461,61.27,10.36
Vao,24,NC,few clouds,82,-22.6667,167.4833,72.01,8.12
Batticaloa,100,LK,overcast clouds,72,7.7102,81.6924,80.76,2.86
Dong Hoi,100,VN,overcast clouds,84,17.4833,106.6,78.58,15.37
Qarayeri,40,AZ,scattered clouds,69,40.7886,46.3066,77.88,11.5
Kazachinskoye,41,RU,scattered clouds,56,57.6953,93.2761,71.31,6.96
Ugoofaaru,100,MV,overcast clouds,76,5.6667,73.0,82.02,12.01
Guayaramerin,3,BO,clear sky,49,-10.8368,-65.3614,76.32,1.16
Vila,100,PT,overcast clouds,94,42.0304,-8.1588,52.32,1.88
La Ferte-Bernard,76,FR,broken clouds,98,48.1863,0.6536,63.05,8.57
Saint Anthony,1,US,clear sky,31,45.0205,-93.218,87.82,1.99
Hauterive,0,FR,clear sky,92,46.0901,3.4459,62.02,3.36
Soyo,9,AO,clear sky,93,-6.1349,12.3689,70.29,5.26
Lapus,71,RO,broken clouds,68,47.5,24.0167,60.15,3.85
Kropotkin,88,RU,overcast clouds,47,45.4375,40.5756,71.11,7.99
Udachnyy,0,RU,clear sky,46,66.4167,112.4,75.4,14.81
Wanning,15,CN,few clouds,71,18.8003,110.3967,85.35,8.23
Nemuro,86,JP,overcast clouds,94,43.3236,145.575,81.03,10.38
Gornopravdinsk,100,RU,overcast clouds,89,60.05,69.9,55.87,1.21
Lagoa,93,PT,overcast clouds,85,39.05,-27.9833,68.92,16.11
Zhigansk,15,RU,few clouds,55,66.7697,123.3711,64.89,17.31
Riyadh,1,SA,clear sky,24,24.6877,46.7219,91.54,2.93
Pudozh,100,RU,overcast clouds,74,61.8099,36.5345,56.43,5.46
Divnoye,100,RU,overcast clouds,39,45.9089,43.3547,75.04,5.95
Oga,73,IT,broken clouds,96,46.4631,10.347,61.48,4.27
Cortez,90,US,overcast clouds,82,37.3489,-108.5859,71.51,5.75
Concordia,100,AR,overcast clouds,79,-31.393,-58.0209,68.79,3.0
Kawalu,92,ID,overcast clouds,87,-7.3817,108.2082,73.44,1.77
Angra Dos Reis,0,BR,clear sky,56,-23.0067,-44.3181,60.76,3.62
Gravdal,100,NO,overcast clouds,97,68.1214,13.5031,51.94,10.31
Shache,0,CN,clear sky,30,38.4167,77.2406,82.87,4.99
Gargzdai,1,LT,clear sky,79,55.7128,21.4033,56.98,6.98
Qaqortoq,100,GL,overcast clouds,96,60.7167,-46.0333,46.9,1.63
Erenhot,100,CN,overcast clouds,92,43.6475,111.9767,64.45,11.65
Yokosuka,0,JP,clear sky,71,35.2836,139.6672,87.37,8.79
Dharmavaram,95,IN,overcast clouds,77,14.4333,77.7167,77.05,17.29
Neryungri,100,RU,overcast clouds,90,56.6709,124.6491,61.2,9.91
Vila Do Maio,100,CV,overcast clouds,72,15.1333,-23.2167,75.99,8.28
Taltal,0,CL,clear sky,69,-25.4,-70.4833,59.16,5.08
Turukhansk,0,RU,clear sky,57,65.8167,87.9833,71.46,15.68
Hami,84,CN,broken clouds,16,42.8,93.45,90.99,12.37
Beitbridge,65,ZW,broken clouds,71,-22.2167,30.0,52.45,11.95
Tanout,10,NE,clear sky,58,14.9709,8.8879,83.12,18.97
Sinaloa,91,MX,overcast clouds,62,25.0,-107.5,90.1,5.99
Tigil,100,RU,overcast clouds,93,57.8,158.6667,57.78,8.61
Piacabucu,0,BR,clear sky,73,-10.4056,-36.4344,74.82,13.62
Nguruka,5,TZ,clear sky,46,-5.1092,31.0419,61.61,6.55
Makakilo City,75,US,broken clouds,59,21.3469,-158.0858,89.92,10.36
Ghioroc,0,RO,clear sky,60,46.15,21.5833,66.04,5.99
Sept-Iles,75,CA,broken clouds,92,50.2001,-66.3821,62.06,1.01
Krasnoselkup,100,RU,light rain,83,65.7,82.4667,65.7,10.02
Hede,100,CN,light rain,80,33.7681,120.2517,81.55,13.56
Naze,100,JP,overcast clouds,89,28.3667,129.4833,81.52,21.61
Eyl,100,SO,overcast clouds,57,7.9803,49.8164,79.68,25.26
Moville,44,US,scattered clouds,56,42.4889,-96.0725,91.04,5.73
Karpathos,0,GR,clear sky,79,35.507,27.2132,75.11,18.9
Arang,100,IN,overcast clouds,86,21.2,81.9667,76.96,10.02
Presidencia Roque Saenz Pena,82,AR,broken clouds,37,-26.7852,-60.4388,78.13,10.25
Hovd,9,MN,clear sky,45,48.0056,91.6419,67.73,2.66
Rio Gallegos,0,AR,clear sky,75,-51.6226,-69.2181,37.45,8.05
Henties Bay,0,NA,clear sky,29,-22.116,14.2845,65.89,8.97
Brigantine,1,US,clear sky,69,39.4101,-74.3646,77.2,9.22
Naantali,0,FI,clear sky,93,60.4674,22.0243,60.85,0.0
Severomuysk,100,RU,overcast clouds,62,56.1481,113.4267,56.52,6.51
Damavand,1,IR,clear sky,37,35.7178,52.065,75.04,4.52
Ust-Maya,100,RU,light rain,97,60.4167,134.5333,60.67,8.68
Naifaru,100,MV,overcast clouds,77,5.4444,73.3657,81.73,10.58
Surt,0,LY,clear sky,70,31.2089,16.5887,78.76,7.83
Flin Flon,69,CA,broken clouds,74,54.7682,-101.865,65.21,7.43
Notse,84,TG,broken clouds,86,6.95,1.1667,70.03,4.88
Rio Verde De Mato Grosso,0,BR,clear sky,35,-18.9181,-54.8442,73.38,4.21
Tabas,0,IR,clear sky,12,33.5959,56.9244,88.12,3.76
Saint-Pierre,75,RE,broken clouds,81,-21.3393,55.4781,64.08,6.91
Hamilton,20,US,few clouds,69,39.1834,-84.5333,83.25,1.99
Kaspiyskiy,55,RU,broken clouds,56,45.3929,47.3707,77.04,3.53
Havoysund,100,NO,overcast clouds,81,70.9963,24.6622,45.48,18.43
Kangaba,46,ML,scattered clouds,92,11.9333,-8.4167,72.9,6.93
Iskateley,100,RU,overcast clouds,91,67.6803,53.1512,45.73,12.08
Tallahassee,0,US,clear sky,82,30.4383,-84.2807,87.53,5.21
Naples,0,IT,clear sky,81,40.8333,14.25,76.77,1.14
Mwinilunga,0,ZM,clear sky,81,-11.7358,24.4293,52.72,8.16
Terney,72,RU,broken clouds,75,45.0503,136.6092,80.53,6.82
Bariri,0,BR,clear sky,36,-22.0744,-48.7403,77.25,2.55
Vila Franca Do Campo,61,PT,broken clouds,92,37.7167,-25.4333,72.01,6.13
Palmer,75,US,broken clouds,68,42.1584,-72.3287,74.01,6.91
Khandyga,100,RU,overcast clouds,91,62.6667,135.6,63.93,3.49
Thap Than,100,TH,light rain,88,15.4606,99.8917,76.21,7.49
Baruun-Urt,100,MN,overcast clouds,48,46.6806,113.2792,69.24,10.58
Ola,99,RU,overcast clouds,94,59.5833,151.2833,55.6,6.67
Portland,1,US,clear sky,40,45.5234,-122.6762,93.56,3.0
Choma,90,ZM,overcast clouds,77,-16.8065,26.9531,52.05,5.66
Mitsamiouli,2,KM,light rain,71,-11.3847,43.2844,75.15,20.4
Saldanha,100,ZA,overcast clouds,51,-33.0117,17.9442,50.05,10.02
Puerto Carreno,100,CO,light rain,91,6.189,-67.4859,75.69,4.5
Rong Kwang,100,TH,overcast clouds,93,18.339,100.3174,76.48,2.3
Chicama,50,PE,scattered clouds,83,-7.8447,-79.1469,64.94,4.0
Kungurtug,100,RU,overcast clouds,90,50.5994,97.5228,59.5,1.16
Labuhan,0,ID,clear sky,72,-6.8844,112.2051,78.24,6.6
Ambulu,6,ID,clear sky,72,-8.345,113.6058,76.37,2.42
Alta Floresta,28,BR,scattered clouds,42,-9.8756,-56.0861,75.56,3.49
Morwell,96,AU,overcast clouds,65,-38.2333,146.4,50.92,10.67
Nouadhibou,10,MR,clear sky,88,20.931,-17.0347,69.78,8.05
Puri,100,IN,overcast clouds,75,19.8,85.85,86.38,3.89
Celestun,83,MX,broken clouds,77,20.8667,-90.4,81.61,14.12
Acajutla,100,SV,overcast clouds,78,13.5928,-89.8275,95.34,6.22
Tuy Hoa,97,VN,overcast clouds,59,13.0833,109.3,86.18,17.85
Zavyalovo,10,RU,clear sky,81,54.5053,82.4484,70.25,3.69
Waipawa,0,NZ,clear sky,62,-41.4122,175.5153,56.44,10.51
Santa Vitoria Do Palmar,100,BR,overcast clouds,80,-33.5189,-53.3681,57.13,7.0
Gualaquiza,15,EC,few clouds,86,-3.4,-78.55,63.19,1.77
Ajdabiya,0,LY,clear sky,65,30.7554,20.2263,76.68,9.08
Vanimo,100,PG,overcast clouds,94,-2.6741,141.3028,73.15,9.69
Zhezkazgan,4,KZ,clear sky,20,47.8043,67.7144,82.67,6.64
Motygino,0,RU,clear sky,54,58.1831,94.7592,72.73,7.31
Gazojak,0,TM,clear sky,13,41.1875,61.4036,88.25,6.69
Kundian,0,PK,clear sky,46,32.4587,71.4775,94.5,4.72
Sur,81,OM,broken clouds,61,22.5667,59.5289,88.54,10.11
Huejuquilla El Alto,54,MX,broken clouds,63,22.6,-103.8667,70.72,4.09
Luganville,84,VU,broken clouds,78,-15.5333,167.1667,81.63,6.06
Ornskoldsvik,40,SE,scattered clouds,94,63.2909,18.7153,58.15,4.61
Mao,0,ES,clear sky,73,39.8885,4.2658,77.56,19.57
Diego De Almagro,0,CL,clear sky,49,-26.3667,-70.05,54.18,1.54
Korla,0,CN,clear sky,24,41.7597,86.1469,87.01,16.49
Nouakchott,57,MR,broken clouds,80,18.0858,-15.9785,75.13,12.15
Amarante Do Maranhao,18,BR,few clouds,54,-5.5667,-46.7422,73.63,2.01
Alghero,73,IT,broken clouds,55,40.5589,8.3181,78.66,1.74
Bontang,90,ID,overcast clouds,76,0.1333,117.5,80.89,6.78
Tynda,100,RU,light rain,98,55.1667,124.7167,59.56,4.25
Guerrero Negro,100,MX,overcast clouds,73,27.9769,-114.0611,72.54,15.57
Vrangel,55,RU,broken clouds,80,42.7297,133.0839,77.99,7.31
Zaraza,100,VE,overcast clouds,95,9.3503,-65.3245,74.89,1.83
Zeya,100,RU,light rain,94,53.75,127.2667,69.08,5.1
Limot,64,PH,broken clouds,59,7.0405,126.2727,84.06,7.72
Quelimane,75,MZ,light rain,88,-17.8786,36.8883,62.55,5.99
Beloha,44,MG,scattered clouds,63,-25.1667,45.05,60.37,9.26
Necochea,100,AR,light rain,87,-38.5473,-58.7368,48.04,12.26
Glenwood Springs,1,US,clear sky,55,39.5505,-107.3248,85.01,0.0
Touros,0,BR,clear sky,77,-5.1989,-35.4608,76.1,16.22
Boyolangu,39,ID,scattered clouds,74,-8.1181,111.8935,76.75,8.37
Sambava,100,MG,light rain,84,-14.2667,50.1667,67.95,13.18
Khovu-Aksy,99,RU,overcast clouds,86,51.1333,93.6,60.96,3.36
Isla Vista,40,US,scattered clouds,60,34.4133,-119.861,85.68,8.05
Tual,98,ID,overcast clouds,73,-5.6667,132.75,80.26,8.3
Mana,100,GF,overcast clouds,89,5.6592,-53.7767,77.13,7.49
Goma,44,CD,scattered clouds,66,-1.6792,29.2228,62.92,3.78
Clifton,20,US,few clouds,59,40.8584,-74.1638,77.63,1.01
Sawtell,1,AU,clear sky,35,-30.3833,153.1,66.22,10.36
Flagstaff,40,US,scattered clouds,70,35.1981,-111.6513,74.79,7.0
Clarence Town,11,AU,few clouds,51,-32.5833,151.7833,59.81,16.08
Porgera,97,PG,overcast clouds,87,-5.4667,143.2,51.98,3.15
Robat Karim,0,IR,clear sky,53,35.4846,51.0829,85.86,11.5
Yerofey Pavlovich,74,RU,light rain,88,53.9667,121.9667,63.79,1.83
Cobija,0,BO,clear sky,49,-11.0267,-68.7692,75.69,1.41
Koslan,100,RU,overcast clouds,97,63.4564,48.8989,45.39,6.85
Shadegan,7,IR,clear sky,17,30.6497,48.6647,93.15,3.0
Poya,0,NC,clear sky,42,-21.35,165.15,81.95,7.23
Auriflama,0,BR,clear sky,37,-20.6856,-50.5547,64.62,6.24
Tayu,0,ID,clear sky,67,-6.5397,111.0518,78.94,8.68
Ahuimanu,75,US,light rain,69,21.4447,-157.8378,91.11,16.11
Saurimo,0,AO,clear sky,44,-9.6608,20.3916,58.77,5.59
Severo-Yeniseyskiy,0,RU,clear sky,49,60.3725,93.0408,71.82,3.09
Zhireken,100,RU,overcast clouds,86,52.8249,117.3076,59.04,3.6
Mandal,100,IN,overcast clouds,78,25.45,74.5667,79.77,12.1
Mendeleyevsk,2,RU,clear sky,73,55.9082,52.2905,52.84,4.76
Belaya Gora,100,RU,overcast clouds,47,68.5333,146.4167,58.5,15.75
Schwerin,100,DE,overcast clouds,81,53.6294,11.4132,69.71,10.51
Savasleyka,100,RU,overcast clouds,63,55.4606,42.3207,56.68,3.22
Baft,0,IR,clear sky,35,29.234,56.6057,71.76,3.87
Grosseto,0,IT,clear sky,64,42.8333,11.25,78.67,17.27
Sayyan,93,YE,overcast clouds,68,15.1718,44.3244,62.87,2.04
Camana,98,PE,overcast clouds,82,-16.6228,-72.7111,60.48,6.4
Odesskoye,97,RU,overcast clouds,58,54.2111,72.9651,71.96,10.6
Salinopolis,98,BR,overcast clouds,88,-0.6136,-47.3561,76.68,8.93
Halifax,4,CA,clear sky,85,44.6453,-63.5724,64.45,4.61
Berlevag,100,NO,overcast clouds,85,70.8578,29.0864,45.07,25.68
Santa Marta,52,CO,broken clouds,87,11.2408,-74.199,76.98,4.0
Honolulu,40,US,scattered clouds,66,21.3069,-157.8583,91.22,5.01
Narasannapeta,100,IN,overcast clouds,77,18.4167,84.05,82.6,3.44
Tehachapi,100,US,overcast clouds,21,35.1322,-118.449,93.43,5.99
Klaksvik,54,FO,broken clouds,97,62.2266,-6.589,51.58,11.05
Camabatela,0,AO,clear sky,66,-8.1881,15.375,57.52,2.42
Puerto Leguizamo,100,CO,overcast clouds,97,-0.1934,-74.7819,70.68,1.99
High Level,75,CA,broken clouds,77,58.5169,-117.136,64.51,4.61
Tingi,34,TZ,scattered clouds,88,-11.3,35.0333,50.68,4.07
Great Yarmouth,100,GB,overcast clouds,96,52.6083,1.7305,63.55,5.55
Upanema,0,BR,clear sky,48,-5.6419,-37.2578,77.54,12.5
Drumheller,6,CA,clear sky,18,51.4617,-112.7101,85.86,2.3
Sao Raimundo Nonato,16,BR,few clouds,65,-9.0153,-42.6994,74.34,9.82
Zhangjiakou,39,CN,scattered clouds,74,40.81,114.8794,77.05,8.41
Barao De Melgaco,0,BR,clear sky,36,-16.1944,-55.9675,84.72,4.09
Norrtalje,39,SE,scattered clouds,81,59.758,18.705,60.08,4.74
Jacareacanga,16,BR,few clouds,49,-6.2222,-57.7528,77.16,1.01
Mackay,0,AU,clear sky,30,-21.15,149.2,73.04,12.66
Aviles,90,ES,overcast clouds,77,43.5547,-5.9248,66.76,5.01
San Vicente,2,AR,clear sky,58,-26.6167,-54.1333,63.1,4.74
Stepnyak,99,KZ,overcast clouds,42,52.8339,70.7803,71.11,8.52
Port Hawkesbury,1,CA,clear sky,92,45.6169,-61.3485,60.39,0.0
College,75,US,broken clouds,62,64.8569,-147.8028,67.21,12.66
San Jeronimo,18,PE,few clouds,74,-11.9472,-75.2829,47.79,5.1
Chateaubelair,97,VC,overcast clouds,84,13.2833,-61.25,79.41,8.7
Karratha,16,AU,few clouds,35,-20.7377,116.8463,74.12,10.0
Touba,87,CI,overcast clouds,98,8.2833,-7.6833,67.48,4.63
Moose Factory,90,CA,overcast clouds,94,51.2585,-80.6094,68.0,2.3
Warah,98,PK,overcast clouds,41,27.4481,67.7978,95.36,8.81
Okahandja,7,NA,clear sky,31,-21.9833,16.9167,52.83,9.98
Bati,99,ET,light rain,75,11.1833,40.0167,66.25,1.43
Port Dickson,100,MY,overcast clouds,76,2.5228,101.7959,82.62,6.26
Pulandian,4,CN,clear sky,64,39.3953,121.9669,86.13,7.05
Kakrala,5,IN,clear sky,76,27.9,79.2,84.36,8.9
Tombouctou,100,ML,overcast clouds,36,20.0,-3.0,91.47,16.49
Lupiro,64,TZ,broken clouds,59,-8.3833,36.6667,66.34,3.58
Tucuman,2,AR,clear sky,63,-26.8241,-65.2226,60.8,8.05
Sibolga,68,ID,broken clouds,73,1.7427,98.7792,79.99,2.13
Hohhot,20,CN,few clouds,64,40.8106,111.6522,75.49,11.18
Waw,98,SS,light rain,96,7.7029,27.9953,69.46,4.43
Coxim,0,BR,clear sky,36,-18.5067,-54.76,73.36,3.6
Ambilobe,53,MG,broken clouds,79,-13.2,49.05,63.41,2.84
Broome,20,US,few clouds,68,42.2506,-75.833,74.7,5.99
Gizo,73,SB,light rain,73,-8.103,156.8419,83.01,5.91
Poltavka,98,RU,overcast clouds,56,54.3663,71.7632,72.18,8.68
Qinhuangdao,90,CN,light rain,71,39.9317,119.5883,81.99,4.68
Abu Samrah,0,SY,clear sky,73,35.3029,37.1841,74.55,5.08
Carinhanha,22,BR,few clouds,57,-14.3047,-43.765,67.6,4.52
Salalah,90,OM,drizzle,100,17.0151,54.0924,77.09,8.05
San Buenaventura,0,MX,clear sky,23,27.0833,-101.5333,98.2,15.23
Sao Jose Da Coroa Grande,100,BR,overcast clouds,83,-8.8978,-35.1478,74.62,15.97
Kedrovyy,100,RU,overcast clouds,63,56.1667,91.8167,64.81,6.51
Santa Maria,0,BR,clear sky,73,-29.6842,-53.8069,67.3,5.75
Russell,75,US,broken clouds,79,32.3502,-85.1999,87.4,0.0
Hima,81,UG,broken clouds,60,0.2958,30.1804,69.67,1.34
Saint-Leu,37,RE,scattered clouds,73,-21.15,55.2833,63.46,10.85
Neiafu,40,TO,light rain,79,-18.65,-173.9833,84.88,4.61
Debre Tabor,100,ET,light rain,97,11.85,38.0167,51.44,1.9
Praia,75,CV,broken clouds,69,14.9215,-23.5087,75.74,6.91
Fallon,40,US,smoke,11,39.4735,-118.7774,102.07,5.75
Porto Novo,22,BJ,few clouds,81,6.4965,2.6036,78.62,6.17
Preston,100,GB,overcast clouds,77,53.7667,-2.7167,61.66,5.82
Marietta,75,US,broken clouds,80,33.9526,-84.5499,85.78,4.61
Loubomo,4,CG,clear sky,93,-4.1997,12.6739,65.84,2.75
Tomari,96,RU,overcast clouds,75,47.7658,142.0683,77.74,14.03
Inhambane,100,MZ,overcast clouds,62,-23.865,35.3833,64.99,11.25
Kyaukse,75,MM,broken clouds,83,21.6,96.1333,80.6,8.05
Laramie,1,US,clear sky,35,41.3114,-105.5911,78.73,7.0
Achit,100,RU,overcast clouds,96,56.7985,57.8994,49.28,5.84
Bantry,2,IE,clear sky,94,51.6833,-9.45,60.28,2.93
Manta,90,EC,overcast clouds,83,-0.95,-80.7333,73.18,9.22
Fairhope,1,US,clear sky,87,30.523,-87.9033,85.75,0.0
Hojai,100,IN,overcast clouds,86,26.0,92.8667,81.34,4.63
Ateli,5,IN,clear sky,72,28.1,76.2833,85.19,6.96
Opuwo,0,NA,clear sky,17,-18.0607,13.84,54.43,8.72
Barcelos,95,PT,overcast clouds,94,41.5388,-8.6151,63.84,2.46
Staroaleyskoye,0,RU,clear sky,74,51.0061,82.0,67.73,4.34
Micheweni,1,TZ,clear sky,73,-4.9667,39.8333,75.74,20.56
Pierre,1,US,clear sky,17,44.3683,-100.351,95.99,3.0
Frei Paulo,7,BR,clear sky,93,-10.5494,-37.5344,64.6,5.5
Belmopan,100,BZ,overcast clouds,79,17.25,-88.7667,86.38,4.27
Prabumulih,0,ID,clear sky,81,-3.45,104.25,78.26,4.5
Hualmay,49,PE,scattered clouds,84,-11.0964,-77.6139,62.73,7.74
Dinghai,89,CN,overcast clouds,73,26.2847,119.7936,86.92,10.2
Wagar,100,SD,overcast clouds,89,16.1525,36.2032,73.38,14.92
Peniche,21,PT,few clouds,91,39.3558,-9.3811,66.72,5.66
Magdalena,100,PH,overcast clouds,75,14.1999,121.429,80.4,12.48
Teguldet,100,RU,overcast clouds,67,57.3064,88.1667,68.59,4.99
Zavodoukovsk,100,RU,light rain,98,56.5042,66.5515,59.74,8.37
Waiuku,92,NZ,overcast clouds,90,-37.25,174.75,60.33,11.25
Mhlume,6,SZ,clear sky,82,-26.0333,31.85,45.86,4.03
Okitipupa,98,NG,overcast clouds,89,6.5047,4.7839,73.29,0.85
Vardo,100,NO,overcast clouds,85,70.3705,31.1107,46.26,27.09
Dabat,100,ET,overcast clouds,99,12.9842,37.765,52.68,4.16
Kaeo,100,NZ,overcast clouds,75,-35.1,173.7833,62.33,14.2
Biak,78,ID,broken clouds,67,-0.9131,122.8766,79.48,7.94
Abha,81,SA,broken clouds,88,18.2164,42.5053,64.22,0.0
Hayvoron,83,UA,broken clouds,57,48.3396,29.8679,66.99,1.07
Norfolk,1,US,clear sky,74,42.1668,-71.2495,71.65,4.61
Pimentel,35,PE,scattered clouds,83,-6.8367,-79.9342,66.0,4.0
Teya,0,RU,clear sky,51,60.3778,92.6267,74.1,2.37
Csabrendek,51,HU,broken clouds,76,47.0136,17.2911,74.53,6.33
Half Moon Bay,1,US,clear sky,63,37.4636,-122.4286,94.32,11.5
Isla Mujeres,95,MX,overcast clouds,80,21.2311,-86.731,84.16,5.91
Am Timan,100,TD,light rain,87,11.0297,20.2827,74.79,3.62
Bambanglipuro,35,ID,scattered clouds,72,-7.95,110.2833,79.25,9.93
Bushehr,6,IR,clear sky,74,28.9684,50.8385,92.26,4.32
Khani,100,GE,overcast clouds,98,41.9563,42.9566,63.97,0.63
Baloda Bazar,100,IN,overcast clouds,90,21.6667,82.1667,76.66,10.42
Pontianak,20,ID,few clouds,89,-0.0333,109.3333,80.58,11.5
Naryan-Mar,100,RU,overcast clouds,91,67.6713,53.087,45.82,12.1
Kayerkan,100,RU,moderate rain,95,69.3497,87.7602,46.44,5.59
San Cristobal,100,VE,overcast clouds,99,7.7669,-72.225,75.38,3.65
Chadiza,22,ZM,few clouds,91,-14.0678,32.4392,49.59,8.43
Voi,0,KE,clear sky,81,-3.3945,38.563,64.67,8.5
San Jose,40,US,scattered clouds,43,37.3394,-121.895,98.46,12.66
Petropavlovka,6,RU,clear sky,60,50.6114,105.3196,67.64,1.86
Lipari,0,IT,clear sky,68,38.4674,14.954,78.94,8.72
Mecca,84,SA,broken clouds,31,21.4267,39.8261,86.36,1.05
Lukulu,0,ZM,clear sky,68,-14.3707,23.242,56.39,10.25
Omboue,100,GA,overcast clouds,77,-1.5746,9.2618,73.15,5.1
Tiznit,80,MA,broken clouds,44,29.5833,-9.5,80.82,0.72
Vanavara,38,RU,scattered clouds,52,60.34,102.2797,75.74,3.49
Mahon,0,ES,clear sky,73,39.8885,4.2658,77.56,19.57
Rovaniemi,0,FI,clear sky,76,66.5,25.7167,56.61,4.61
Alofi,16,NU,few clouds,74,-19.0595,-169.9187,82.29,5.75
Sisimiut,100,GL,overcast clouds,93,66.9395,-53.6735,40.87,5.84
San Jose De Ocoa,100,DO,overcast clouds,91,18.55,-70.5,76.68,2.77
Okhotsk,100,RU,light rain,95,59.3833,143.3,55.9,12.15
Dryden,75,CA,broken clouds,41,49.7833,-92.7503,77.29,5.75
Sioux Lookout,90,CA,smoke,46,50.1001,-91.917,77.38,8.05
